[2026-06-26 16:16:28] S10_TRIGGER_SKIP_MIN_SL | SL ชิด entry เกิน — actual=0.23 min=0.30 | BUY entry=4479.19 sl=4478.96 (Model1) | tf=M1 | sid=10 | signal=BUY | htf_ltf=M15_M1 | entry=4479.19 | sl=4478.96 | tp=4487.42
[2026-06-26 16:16:28] S10_TRIGGER_SKIP_MIN_SL | SL ชิด entry เกิน — actual=0.23 min=0.30 | BUY entry=4479.19 sl=4478.96 (Model1) | tf=M1 | sid=10 | signal=BUY | htf_ltf=M15_M1 | entry=4479.19 | sl=4478.96 | tp=4487.42
[2026-06-26 16:16:28] S10_TRIGGER_SKIP_MIN_SL | SL ชิด entry เกิน — actual=0.23 min=0.30 | BUY entry=4479.19 sl=4478.96 (Model1) | tf=M1 | sid=10 | signal=BUY | htf_ltf=M15_M1 | entry=4479.19 | sl=4478.96 | tp=4487.42
[2026-06-26 16:16:28] S10_TRIGGER_SKIP_MIN_SL | SL ชิด entry เกิน — actual=0.23 min=0.30 | BUY entry=4479.19 sl=4478.96 (Model1) | tf=M1 | sid=10 | signal=BUY | htf_ltf=M15_M1 | entry=4479.19 | sl=4478.96 | tp=4487.42
[2026-06-26 16:16:28] S10_TRIGGER_SKIP_MIN_SL | SL ชิด entry เกิน — actual=0.23 min=0.30 | BUY entry=4479.19 sl=4478.96 (Model1) | tf=M1 | sid=10 | signal=BUY | htf_ltf=M15_M1 | entry=4479.19 | sl=4478.96 | tp=4487.42
[2026-06-26 16:16:28] S10_TRIGGER_SKIP_MIN_SL | SL ชิด entry เกิน — actual=0.23 min=0.30 | BUY entry=4479.19 sl=4478.96 (Model1) | tf=M1 | sid=10 | signal=BUY | htf_ltf=M15_M1 | entry=4479.19 | sl=4478.96 | tp=4487.42
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_LOW | tf=M1 | ref_price=4059.81 | sweep_bar=10:45 29-Jun-2026 | confirm_bar=10:46 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_LOW | tf=M1 | ref_price=4059.81 | sweep_bar=10:45 29-Jun-2026 | confirm_bar=10:46 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M1 | ref_price=4069.43 | sweep_bar=10:54 29-Jun-2026 | confirm_bar=10:55 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_LOW | tf=M1 | ref_price=4059.81 | sweep_bar=10:45 29-Jun-2026 | confirm_bar=10:46 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M1 | ref_price=4069.43 | sweep_bar=10:54 29-Jun-2026 | confirm_bar=10:55 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_LOW | tf=M1 | ref_price=4059.81 | sweep_bar=10:45 29-Jun-2026 | confirm_bar=10:46 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M1 | ref_price=4069.43 | sweep_bar=10:54 29-Jun-2026 | confirm_bar=10:55 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_LOW | tf=M1 | ref_price=4059.81 | sweep_bar=10:45 29-Jun-2026 | confirm_bar=10:46 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M1 | ref_price=4069.43 | sweep_bar=10:54 29-Jun-2026 | confirm_bar=10:55 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_LOW | tf=M1 | ref_price=4059.81 | sweep_bar=10:45 29-Jun-2026 | confirm_bar=10:46 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M1 | ref_price=4069.43 | sweep_bar=10:54 29-Jun-2026 | confirm_bar=10:55 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_LOW | tf=M1 | ref_price=4059.81 | sweep_bar=10:45 29-Jun-2026 | confirm_bar=10:46 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M1 | ref_price=4069.43 | sweep_bar=10:54 29-Jun-2026 | confirm_bar=10:55 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_LOW | tf=M1 | ref_price=4059.81 | sweep_bar=10:45 29-Jun-2026 | confirm_bar=10:46 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M1 | ref_price=4069.43 | sweep_bar=10:54 29-Jun-2026 | confirm_bar=10:55 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M1 | ref_price=4069.43 | sweep_bar=10:54 29-Jun-2026 | confirm_bar=10:55 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M1 | ref_price=4069.45 | sweep_bar=11:09 29-Jun-2026 | confirm_bar=11:09 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M1 | ref_price=4069.45 | sweep_bar=11:09 29-Jun-2026 | confirm_bar=11:09 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M1 | ref_price=4069.45 | sweep_bar=11:09 29-Jun-2026 | confirm_bar=11:09 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M1 | ref_price=4069.45 | sweep_bar=11:09 29-Jun-2026 | confirm_bar=11:09 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M1 | ref_price=4069.45 | sweep_bar=11:09 29-Jun-2026 | confirm_bar=11:09 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M1 | ref_price=4069.45 | sweep_bar=11:09 29-Jun-2026 | confirm_bar=11:09 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M1 | ref_price=4069.45 | sweep_bar=11:09 29-Jun-2026 | confirm_bar=11:09 29-Jun-2026
[2026-06-29 18:15:19] SWEEP_ACTIVATE | SWEEP_HIGH | tf=M1 | ref_price=4071.85 | sweep_bar=11:52 29-Jun-2026 | confirm_bar=11:53 29-Jun-2026
[2026-07-01 17:57:47] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 13:09:12] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 13:09:23] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 13:22:02] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 13:55:40] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 13:59:19] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 14:10:36] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 14:12:28] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 14:27:45] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 14:30:14] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 14:30:29] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 14:31:23] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 14:31:29] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 14:31:33] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 14:31:48] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 14:35:22] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 14:39:30] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 14:50:24] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 14:51:44] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 14:53:17] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 14:56:32] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 14:58:32] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 14:58:38] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 15:26:17] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 15:33:10] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 15:38:41] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 15:41:54] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 15:47:14] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 15:48:35] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 15:51:20] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 15:55:00] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 15:57:11] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 15:57:29] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 16:00:47] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 16:32:23] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 17:20:10] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 17:20:41] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 17:33:54] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 18:07:39] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 18:09:19] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 18:13:50] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 18:16:46] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 18:17:08] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 18:18:13] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 18:24:38] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 18:25:33] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 18:28:38] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
[2026-07-02 18:29:05] SYMBOL_RESOLVED | XAUUSD -> XAUUSD.iux | requested=XAUUSD | resolved=XAUUSD.iux
