symbol,portfolio,window_days,exit_date,trades,wins,losses,pnl_per_001lot,pnl_weighted_full,profit_factor
XAUUSD.iux,AF22,30,2026-06-17,1,1,0,6.41,1564.6105,99.0
XAUUSD.iux,AF22,60,2026-06-17,1,1,0,6.41,1564.6105,99.0
XAUUSD.iux,AF22,90,2026-03-11,1,1,0,6.3,1537.7607,99.0
XAUUSD.iux,AF22,90,2026-06-17,1,1,0,6.41,1564.6105,99.0
XAUUSD.iux,AF22,120,2026-03-11,1,1,0,6.3,1537.7607,99.0
XAUUSD.iux,AF22,120,2026-06-17,1,1,0,6.41,1564.6105,99.0
XAUUSD.iux,AF22,150,2025-12-09,1,1,0,6.15,1501.1473,99.0
XAUUSD.iux,AF22,150,2025-12-10,1,1,0,7.79,1901.4533,99.0
XAUUSD.iux,AF22,150,2025-12-19,1,1,0,6.7,1635.3963,99.0
XAUUSD.iux,AF22,150,2026-03-11,1,1,0,6.3,1537.7607,99.0
XAUUSD.iux,AF22,150,2026-06-17,1,1,0,6.41,1564.6105,99.0
XAUUSD.iux,AF22,180,2025-09-29,1,1,0,8.01,1955.1529,99.0
XAUUSD.iux,AF22,180,2025-10-09,1,1,0,7.24,1767.2044,99.0
XAUUSD.iux,AF22,180,2025-11-07,1,0,1,-6.38,-1557.2878,0.0
XAUUSD.iux,AF22,180,2025-12-09,1,1,0,6.15,1501.1473,99.0
XAUUSD.iux,AF22,180,2025-12-10,1,1,0,7.79,1901.4533,99.0
XAUUSD.iux,AF22,180,2025-12-19,1,1,0,6.7,1635.3963,99.0
XAUUSD.iux,AF22,180,2026-03-11,1,1,0,6.3,1537.7607,99.0
XAUUSD.iux,AF22,180,2026-06-17,1,1,0,6.41,1564.6105,99.0
XAUUSD.iux,AF34,30,2026-07-02,1,1,0,3.15,862.5645,99.0
XAUUSD.iux,AF34,60,2026-07-02,1,1,0,3.15,862.5645,99.0
XAUUSD.iux,AF34,90,2026-07-02,1,1,0,3.15,862.5645,99.0
XAUUSD.iux,AF34,120,2026-01-12,1,1,0,3.09,846.1347,99.0
XAUUSD.iux,AF34,120,2026-07-02,1,1,0,3.15,862.5645,99.0
XAUUSD.iux,AF34,150,2025-12-03,1,0,1,-3.66,-1002.2178,0.0
XAUUSD.iux,AF34,150,2025-12-08,1,1,0,2.97,813.2751,99.0
XAUUSD.iux,AF34,150,2025-12-10,1,1,0,2.84,777.6772,99.0
XAUUSD.iux,AF34,150,2026-01-12,1,1,0,3.09,846.1347,99.0
XAUUSD.iux,AF34,150,2026-07-02,1,1,0,3.15,862.5645,99.0
XAUUSD.iux,AF34,180,2025-11-03,1,1,0,2.83,774.9389,99.0
XAUUSD.iux,AF34,180,2025-12-03,1,0,1,-3.66,-1002.2178,0.0
XAUUSD.iux,AF34,180,2025-12-08,1,1,0,2.97,813.2751,99.0
XAUUSD.iux,AF34,180,2025-12-10,1,1,0,2.84,777.6772,99.0
XAUUSD.iux,AF34,180,2026-01-12,1,1,0,3.09,846.1347,99.0
XAUUSD.iux,AF34,180,2026-07-02,1,1,0,3.15,862.5645,99.0
XAUUSD.iux,AF47,60,2026-04-16,1,1,0,30.46,4438.6312,99.0
XAUUSD.iux,AF47,90,2026-02-24,1,0,1,-41.18,-6000.7496,0.0
XAUUSD.iux,AF47,90,2026-04-16,1,1,0,30.46,4438.6312,99.0
XAUUSD.iux,AF47,120,2026-02-06,1,1,0,200.36,29196.4592,99.0
XAUUSD.iux,AF47,120,2026-02-24,1,0,1,-41.18,-6000.7496,0.0
XAUUSD.iux,AF47,120,2026-04-16,1,1,0,30.46,4438.6312,99.0
XAUUSD.iux,AF47,150,2026-02-06,1,1,0,200.36,29196.4592,99.0
XAUUSD.iux,AF47,150,2026-02-24,1,0,1,-41.18,-6000.7496,0.0
XAUUSD.iux,AF47,150,2026-04-16,1,1,0,30.46,4438.6312,99.0
XAUUSD.iux,AF47,180,2026-02-06,1,1,0,200.36,29196.4592,99.0
XAUUSD.iux,AF47,180,2026-02-24,1,0,1,-41.18,-6000.7496,0.0
XAUUSD.iux,AF47,180,2026-04-16,1,1,0,30.46,4438.6312,99.0
