bt_close_price,bt_close_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_pnl,bt_reason,bt_s14_family,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_trail_count,bt_trail_path,close_price_diff,entry_diff,gap_reason,live_close_price,live_close_ts,live_close_vs_trail_sl_diff,live_entry,live_entry_comment,live_fill_ts,live_last_trail_sl,live_last_trail_source,live_last_trail_ts,live_pnl,live_reason,live_s14_family,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_sl_guard_activate_ts,live_sl_guard_close_ts,live_sl_guard_count,live_sl_guard_group,live_sl_guard_request_price,live_sl_guard_spread,live_sl_guard_trigger_candidates,live_sl_guard_trigger_tf,live_ticket,live_trail_count,live_trail_path,match_quality,match_score,nearest_bt_entry,nearest_bt_entry_diff,nearest_bt_fill_ts,nearest_bt_reason,nearest_bt_time_diff_min,nearest_live_entry,nearest_live_entry_diff,nearest_live_fill_ts,nearest_live_reason,nearest_live_time_diff_min,pnl_diff,s14_family_mismatch,status,time_diff_min
4506.55,2026-05-29 08:36:00,4505.47,2026-05-29 08:15:00,4506.55,M1,2026-05-29 08:31:00,-1.24,SL,SELL_ENGULF,2.0,0.0,0.0,0.0,SELL,,,2,05-29 08:30 M1 4508.89 -> 05-29 08:31 M1 4506.55,-3.02,0.84,PNL_DIFF_SAME_BUCKET,4503.525000000001,2026-05-29 09:52:35,,4506.31,M15_S14_SE,2026-05-29 09:45:04,,,,11.14,[sl 4504.39],SELL_ENGULF,3.6,3.7,1.92,1.92,SELL,,,,,,,,,534295319,,,LOOSE,901.51,,,,,,,,,,,12.38,False,MISMATCH,90.07
,,,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_NOT_REPLAYED:TIME_TOO_FAR+ENTRY_TOO_FAR,4391.7,2026-05-28 20:39:48,,4384.72,M15_S14_BS,2026-05-28 20:30:04,,,,27.92,[sl 4398.43],BUY_SWEEP,3.48,3.48,7.25,13.71,BUY,,,,,,,,,533763704,,,,,4434.05,49.33,2026-06-04 05:15:00,SL,9164.93,,,,,,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_NOT_REPLAYED:TIME_TOO_FAR,4502.06,2026-05-29 02:50:34,,4506.28,M15_S14_SS,2026-05-29 02:15:04,,,,16.880000000000003,[sl 4501.43],SELL_SWEEP,2.22,3.6,6.21,4.85,SELL,,,,,,,,,534202512,,,,,4505.47,0.81,2026-05-29 08:15:00,SL,359.93,,,,,,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_NOT_REPLAYED:TIME_TOO_FAR+ENTRY_TOO_FAR,4514.2375,2026-05-29 14:14:50,,4515.58,M15_S14_SS,2026-05-29 14:00:04,,,,5.37,[sl 4515.83],SELL_SWEEP,2.12,3.75,-0.25,-0.25,SELL,,,,,,,,,534424304,,,,,4505.47,10.11,2026-05-29 08:15:00,SL,345.07,,,,,,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_NOT_REPLAYED:TIME_TOO_FAR+ENTRY_TOO_FAR,4516.8025,2026-05-29 14:14:50,,4521.01,M15_S14_SS,2026-05-29 14:00:09,,,,16.83,[sl 4515.83],SELL_SWEEP,2.44,3.17,6.04,5.18,SELL,,,,,,,,,534425004,,,,,4505.47,15.54,2026-05-29 08:15:00,SL,345.15,,,,,,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_NOT_REPLAYED:TIME_TOO_FAR+ENTRY_TOO_FAR,4513.95,2026-05-29 14:22:23,,4515.7,M15_S14_SE,2026-05-29 14:15:04,,,,7.0,[sl 4514.83],SELL_ENGULF,2.02,3.24,0.87,0.87,SELL,,,,,,,,,534436261,,,,,4505.47,10.23,2026-05-29 08:15:00,SL,360.07,,,,,,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_NOT_REPLAYED:TIME_TOO_FAR+ENTRY_TOO_FAR,4514.0625,2026-05-29 14:42:30,,4517.24,M15_S14_SE,2026-05-29 14:30:04,,,,12.71,[sl 4513.70],SELL_ENGULF,2.37,3.26,3.54,3.54,SELL,,,,,,,,,534446672,,,,,4505.47,11.77,2026-05-29 08:15:00,SL,375.07,,,,,,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_NOT_REPLAYED:TIME_TOO_FAR+ENTRY_TOO_FAR,4525.07,2026-05-29 15:49:09,,4525.2,M15_S14_SE,2026-05-29 15:45:04,,,,0.52,[sl 4525.07],SELL_ENGULF,0.13,0.13,0.13,0.13,SELL,,,,,,,,,534495990,,,,,4505.47,19.73,2026-05-29 08:15:00,SL,450.07,,,,,,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_NOT_REPLAYED:TIME_TOO_FAR+ENTRY_TOO_FAR,4519.7175,2026-05-29 16:12:49,,4523.99,M15_S14_SE,2026-05-29 16:00:04,,,,17.09,[sl 4519.20],SELL_ENGULF,2.45,3.05,6.8,4.79,SELL,,,,,,,,,534505721,,,,,4505.47,18.52,2026-05-29 08:15:00,SL,465.07,,,,,,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_NOT_REPLAYED:TIME_TOO_FAR+ENTRY_TOO_FAR,4533.615000000001,2026-05-29 22:31:51,,4538.15,M15_S14_SS,2026-05-29 22:00:04,,,,18.14,[sl 4532.56],SELL_SWEEP,2.44,3.59,6.52,5.59,SELL,,,,,,,,,534769001,,,,,4505.47,32.68,2026-05-29 08:15:00,SL,825.07,,,,,,,,LIVE_ONLY,
