days,date,total
90,2026-02-09,947.3148
90,2026-02-10,0.0
90,2026-02-11,1051.33974
90,2026-02-12,-999.89627
90,2026-02-13,4463.99897
90,2026-02-16,-372.95032
90,2026-02-17,-235.35126
90,2026-02-18,1832.89066
90,2026-02-19,6188.32567
90,2026-02-20,-996.38852
90,2026-02-21,500.13
90,2026-02-23,-940.52775
90,2026-02-24,7340.48731
90,2026-02-25,1177.91985
90,2026-02-26,6450.08891
90,2026-02-27,1582.49937
90,2026-02-28,211.24
90,2026-03-02,4958.2714
90,2026-03-03,73510.82519
90,2026-03-04,275.55889
90,2026-03-05,21752.62099
90,2026-03-06,198.92701
90,2026-03-07,46.62
90,2026-03-09,-984.35698
90,2026-03-10,627.51513
90,2026-03-11,10240.31695
90,2026-03-12,8484.66659
90,2026-03-13,3323.16637
90,2026-03-16,-976.56554
90,2026-03-17,9442.04876
90,2026-03-18,15620.20183
90,2026-03-19,-27.7222
90,2026-03-20,-999.90672
90,2026-03-21,35.2
90,2026-03-23,534.16
90,2026-03-24,1860.85641
90,2026-03-25,-977.76714
90,2026-03-26,12196.43438
90,2026-03-27,-502.52079
90,2026-03-30,481.12281
90,2026-03-31,-368.34712
90,2026-04-01,1804.32272
90,2026-04-02,12729.10695
90,2026-04-03,-151.4205
90,2026-04-06,108.63894
90,2026-04-07,25798.62878
90,2026-04-08,-999.9999
90,2026-04-09,2465.69229
90,2026-04-10,2992.85111
90,2026-04-11,-13.96
90,2026-04-13,603.02121
90,2026-04-14,-998.34684
90,2026-04-15,8019.74529
90,2026-04-16,15109.59579
90,2026-04-17,4190.42419
90,2026-04-18,109.92
90,2026-04-20,-961.41175
90,2026-04-21,26576.57535
90,2026-04-22,-371.94214
90,2026-04-23,-999.99849
90,2026-04-24,6954.89515
90,2026-04-25,-42.15
90,2026-04-27,14388.09861
90,2026-04-28,8970.39513
90,2026-04-29,8695.59982
90,2026-04-30,-569.67121
90,2026-05-01,2135.83291
90,2026-05-04,3683.20559
90,2026-05-05,1663.89303
90,2026-05-06,1525.64379
90,2026-05-07,4931.91491
90,2026-05-08,829.67528
90,2026-05-09,75.97
90,2026-05-11,-188.59626
90,2026-05-12,10895.57279
90,2026-05-13,117.5327
90,2026-05-14,1213.20097
90,2026-05-15,10210.74206
90,2026-05-16,-34.79
90,2026-05-18,671.22087
90,2026-05-19,20219.95075
90,2026-05-20,-999.98821
90,2026-05-21,6581.53168
90,2026-05-22,-893.42925
90,2026-05-23,-29.07
90,2026-05-25,2134.52736
90,2026-05-26,18387.87181
